url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category
glassesusa.com,20100,20100,35.8,3.97,4.07,Shopping
dolldivine.com,20101,20101,37.1,3.6,3.6,Shopping
dolcegabbana.com,20102,20102,34,4.62,5,Shopping
prosettings.net,20113,20113,44.7,2.37,1.9,Shopping
partsgeek.com,20132,20132,40.1,2.98,2.73,Shopping
jusp.tmall.com,20143,20143,52,1.8,1.3,Shopping
asarayan.com,20153,20153,48.9,2,1.5,Shopping
fc-moto.de,20179,20179,39,3.1,2.9,Shopping
cvonline.lt,20184,20184,36.54,5.14,5.165,Shopping
mobile.bg,20190,20190,45,2.31,1.88,Shopping
claro.com.ar,20210,20210,34.6,4.28,4.54,Shopping
monitor.net.ru,20214,20214,34.6,4.27,4.52,Shopping
wallstreetforum.net,20216,20216,36.6,3.67,3.7,Shopping
jula.se,20217,20217,34.7,4.22,4.46,Shopping
pocketcard.co.jp,20274,20274,34,4.3,4.6,Shopping
apmex.com,20283,20283,34.3,4.3,4.6,Shopping
rustica.fr,20299,20299,45,2.26,1.8,Shopping
nvsay.com,20305,20305,42,2.7,2.4,Shopping
vesselfinder.com,20314,20314,43,2.46,2.1,Shopping
booktopia.com.au,20319,20319,41,2.74,2.5,Shopping
beautifultrendstoday.com,20320,20320,39.1,23.33,21.9,Shopping
c4dcn.com,20325,20325,34,4.5,4.9,Shopping
pichau.com.br,20335,20335,34.1,4.36,4.7,Shopping
fastshop.com.br,20395,20395,43.2,2.43,2.1,Shopping
housebeautiful.com,20396,20396,47.3,2.05,1.59,Shopping
brooksbrothers.com,20402,20402,32,5.11,5.8,Shopping
canon.com.cn,20411,20411,38,3.3,3.2,Shopping
spigen.com,20416,20416,33,4.53,5,Shopping
alsoug.com,20425,20425,31,5.5,6.5,Shopping
victoryhangers.com,20436,20436,35.1,3.94,4.12,Shopping
ivi.az,20441,20441,41,2.69,2.41,Shopping
cultura.com,20464,20464,38,3.17,3,Shopping
groupon.com.au,20480,20480,36.6,3.5,3.51,Shopping
