url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category
hph.co.ir,197938,197938,2.2,0.39,6.6,Shopping
dukkansd.com,197988,197988,1.9,0.69,14,Shopping
redhotchilipeppers.com,198773,198773,3,0.17,2.1,Shopping
qatardutyfree.com,198964,198964,2.7,0.21,2.9,Shopping
toyota.sk,199248,199248,2.8,0.2,2.7,Shopping
martin.com,199413,199413,2.8,0.19,2.5,Shopping
fakeyourdrank.com,199565,199565,2.3,0.32,5,Shopping
gsmforum.su,199712,199712,3.2,0.15,1.6,Shopping
urbanarts.com.br,199775,199775,2.3,0.31,4.9,Shopping
packhacker.com,199776,199776,3,0.17,2.1,Shopping
caobao.com,199910,199910,2.8,0.2,3,Shopping
grandtechno.ru,199937,199937,2.6,0.22,3.1,Shopping
imn.jp,200007,200007,3.4,0.13,1,Shopping
bloomex.ca,200352,200352,2.4,0.29,4.6,Shopping
theclassyhome.com,200561,200561,2.6,0.22,3.1,Shopping
lushome.com,200588,200588,3,0.17,2.1,Shopping
taocaiwu.com,201335,201335,2,0.65,10,Shopping
espertoautoricambi.it,201588,201588,3,0.16,2,Shopping
kaimin-times.com,201657,201657,3.6,0.12,1,Shopping
helpforest.com,201832,201832,3.8,0.11,1,Shopping
cinesamples.com,202067,202067,3.2,0.14,1.6,Shopping
rbfeet.com,202186,202186,1.8,0.73,15,Shopping
rhinorack.com,202985,202985,2.4,0.26,4,Shopping
digitamir.com,204215,204215,2.1,0.36,6.2,Shopping
wilsoncombat.com,204467,204467,2.8,0.18,2.4,Shopping
ciggiesworld.ch,204548,204548,2.5,0.24,3.5,Shopping
kalkifashion.com,204555,204555,2.5,0.23,3.3,Shopping
artesanatobrasil.net,204559,204559,3.5,0.12,1.3,Shopping
planetaperu.pe,205102,205102,3,0.16,1.9,Shopping
zarban.ca,205913,205913,3.5,0.11,1.2,Shopping
ozracing.com,207098,207098,2.5,0.22,3.3,Shopping
michaelsweddings.com,207844,207844,2.3,0.27,4.3,Shopping
calida.com,207916,207916,2.1,0.37,6.5,Shopping
interieridizain.ru,207949,207949,3.2,0.13,1.4,Shopping
casinamia.com,208266,208266,3.6,0.11,1.1,Shopping
americanbookwarehouse.com,208276,208276,3.2,0.13,1.4,Shopping
fusil-calais.com,208508,208508,3,0.14,1.7,Shopping
arianltd.com,208518,208518,2.6,0.2,2.9,Shopping
remontdoma24.ru,208613,208613,2,0.37,6.7,Shopping
peppynet.com,209106,209106,2.9,0.15,2,Shopping
1800wheelchair.com,210083,210083,2.7,0.17,2.3,Shopping
polyteknisk.dk,210147,210147,2.3,0.24,3.8,Shopping
